Year,2000,2010,2014,2015,2016,2017,2018,2019,2020,2021,2022
 National Health Service Corps scholarships,"33,300","41,000","43,300","44,000","44,000","33,722","38,000","38,000","38,000","37,000","31,424"
National Institutes of Health training grants,"550,220","775,186","738,000","758,000","804,000","843,000","855,845","888,955","909,923","926,442","983,585"
"National Institute for Occupational Safety and 
 Health training grants","14,198","24,370","27,445","27,445","28,500","28,933","29,000","28,901","30,000","29,908","31,000"
Health teaching facilities,110,†,†,†,†,†,†,†,†,†,†
Department of Homeland Security ,†,"45,824","35,632","34,205","39,447","15,770","14,001","13,820","13,735","15,234","15,755"
Coast Guard Academy,†,"26,326","25,438","23,260","24,336",---,---,---,---,---,---
Postgraduate training for Coast Guard officers,†,"4,645","5,430","4,811","5,555","6,511","7,081","6,920","6,272","6,459","5,179"
"Tuition assistance to Coast Guard military 
 personnel",†,"14,853","4,764","6,134","9,556","9,259","6,920","6,900","7,463","8,775","10,576"
Department of the Interior ,"156,316","143,041","84,987","83,482","78,602","78,780","80,930","100,571","59,995","58,495","70,195"
"Shared revenues, Mineral Leasing Act and other 
receipts--estimated education share","98,740","16,250","23,100","19,300","14,000","14,300","17,800","36,400","19,000","16,000","27,700"
Indian programs,,,,,,,,,,,
Continuing education ,"57,576","126,791","61,887","64,182","64,602","64,480","63,130","64,171","40,995","42,495","42,495"
Higher education scholarships ,---,"34,585","31,350","31,190","31,290","31,231","34,547","34,996","34,333","34,833","34,833"
Department of State,"319,000","657,660","567,811","594,915","599,211","589,777","646,140","700,950","730,700","740,300","740,300"
Educational exchange,"319,000","657,660","567,811","594,915","599,211","589,777","646,140","700,950","730,700","740,300","740,300"
"Mutual educational and cultural exchange 
 activities","303,000","635,000","567,811","594,915","599,211","589,777","646,140","700,950","730,700","740,300","740,300"
International educational exchange activities,"16,000","22,660",†,†,†,†,†,†,†,†,†
Department of Transportation ,"60,300","89,997","96,800","97,650","116,100","118,418","111,654","433,793","427,721","518,644","513,832"
Merchant Marine Academy,"34,000","74,057","79,500","79,150","82,500","83,218","82,652","88,593","85,441","85,944","90,532"
State marine schools,"7,000","15,940","17,300","18,500","33,600","35,200","29,002","345,200","342,280","432,700","423,300"
Coast Guard Academy,"15,500",†,†,†,†,†,†,†,†,†,†
Postgraduate training for Coast Guard officers,"2,500",†,†,†,†,†,†,†,†,†,†
"Tuition assistance to Coast Guard military 
 personnel","1,300",†,†,†,†,†,†,†,†,†,†
  Department of Veterans Affairs,"1,132,322","8,034,534","12,005,341","12,355,406","12,628,170","12,900,853","12,725,812","11,937,119","12,763,378","10,526,047","9,646,879"
    Post-Vietnam veterans ,"3,958","1,496",425,275,223,212,154,106,143,756,"8,478"
    All-volunteer-force educational assistance,"984,068","1,854,917","680,312","586,558","501,856","455,020","391,870","323,529","300,637","266,750","253,016"
      Veterans,"876,434","1,659,694","530,508","445,190","365,091","323,593","263,895","216,380","197,490","169,636","148,165"
      Reservists ,"107,634","195,223","149,804","141,368","136,765","131,427","127,975","107,149","103,147","97,114","104,851"
Post-9/11 GI Bill,†,"5,542,843","10,754,649","11,234,014","11,583,408","11,886,003","11,738,722","10,748,939","11,430,582","9,141,053","8,134,273"
Veteran dependents' education,"131,296","507,294","494,613","475,131","502,998","519,796","566,579","839,479","1,007,852","1,093,187","1,227,407"
    Payments to state education agencies ,"13,000","18,958","18,985","18,911","18,988","19,000","21,000","23,604","24,164","24,301","23,705"
Reserve Education Assistance Program,†,"109,026","56,357","40,517","20,697","20,822","7,487","1,462",---,---,---
  Other agencies,,,,,,,,,,,
Appalachian Regional Commission,"2,286","2,464","7,471","17,062","25,027","21,525","12,762","10,353","13,243","11,199","23,887"
    National Endowment for the Humanities,"28,395","47,949","39,824","42,900","45,979","25,279","20,768","25,035","32,960","34,660","37,567"
    National Science Foundation,"389,000","618,830","892,600","932,980","935,200","994,800","838,920","985,120","996,400","1,007,130","1,014,720"
      Science and engineering education programs ,"389,000","618,830","892,600","932,980","935,200","994,800","838,920","985,120","996,400","1,007,130","1,014,720"
"    Barry Goldwater Scholarship and Excellence
       in Education Foundation ","3,000","4,000","3,000","2,000","3,000","3,000","3,000","3,000","4,000","3,000","4,000"
"Estimated education share of federal aid to the
       District of Columbia","11,493","20,450","37,538","42,324","42,169","38,936","29,068","39,069","38,549","38,625","38,688"
    Harry S. Truman Scholarship Foundation ,"3,000","2,000","1,000","1,000","1,000","1,000","1,000","1,000","2,000","2,000","2,000"
"    Institute of American Indian and Alaska Native 
       Culture and Arts Development","2,000","8,000","9,000","9,000","12,000","12,000","15,000","10,000","10,000","11,000","11,000"
    James Madison Memorial Fellowship Foundation,"7,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000"
