Year,2000,2010,2014,2015,2016,2017,2018,2019,2020,2021,2022
  Department of Transportation ,188,†,†,†,†,†,†,†,†,†,†
"Tuition assistance for educational accreditation--
       Coast Guard personnel",188,†,†,†,†,†,†,†,†,†,†
  Department of Veterans Affairs,"445,052","760,476","1,079,832","1,161,750","1,332,166","1,522,533","1,752,151","1,409,287","1,581,236","1,444,401","1,491,288"
Noncollegiate and job training programs,†,†,†,†,†,†,†,†,†,†,†
Vocational rehabilitation for disabled veterans,"438,635","760,476","1,060,811","1,143,656","1,314,682","1,504,944","1,734,475","1,387,614","1,559,108","1,419,049","1,463,183"
Veteran dependents' education,"6,417",---,"19,021","18,094","17,484","17,589","17,676","21,673","22,128","25,352","28,105"
Appalachian Regional Commission,"2,588",986,"3,163","1,574","2,332","4,480","1,680","2,386","2,364","6,933","1,224"
National Endowment for the Arts,"6,002","11,530","10,924","9,777","10,496","10,186","9,673","10,283","14,223","10,495","17,383"
      Arts in education,"6,002","11,530","10,924","9,777","10,496","10,186","9,673","10,283","14,223","10,495","17,383"
    National Endowment for the Humanities,812,125,181,243,212,"4,885","2,707","3,101","3,911","3,642","3,907"
Social Security Administration,"729,036","1,281,700","1,328,700","1,327,200","1,319,900","1,294,600","1,288,700","1,263,600","1,219,000","1,117,400","1,168,000"
Social Security student benefits,"729,036","1,281,700","1,328,700","1,327,200","1,319,900","1,294,600","1,288,700","1,263,600","1,219,000","1,117,400","1,168,000"
  Other programs,,,,,,,,,,,
"    Estimated education share of federal aid to the 
       District of Columbia","115,230","138,200","172,318","104,008","85,875","115,180","111,538","117,504","135,148","171,468","221,666"
